z,U_0,U_1,U_2
0,0,0,0
0.7040816,-1.061509,-0.1899458,0.1633455
1.408163,-1.022151,-0.08395384,0.2579295
2.112245,-0.906552,0.06628912,0.3239501
2.816327,-0.6729024,0.2027208,0.3845313
3.520408,-0.08468726,0.2553023,0.3876788
4.22449,1.196793,0.3675628,0.2745218
4.928571,2.892617,0.8492376,0.1686579
5.632653,3.969691,1.365635,0.1129683
6.336735,4.418579,1.591062,0.08243049
7.040816,4.62876,1.692242,0.06301067
7.744898,4.743038,1.76247,0.04810852
8.44898,4.812753,1.82255,0.03821844
9.153061,4.859671,1.874938,0.03291262
9.857143,4.894701,1.92014,0.03120706
10.56122,4.923341,1.958555,0.03172706
11.26531,4.948604,1.990984,0.0333557
11.96939,4.972033,2.018414,0.03540325
12.67347,4.994534,2.041715,0.03750289
13.37755,5.016665,2.06171,0.03935824
14.08163,5.038495,2.07887,0.04079136
14.78571,5.059138,2.0932,0.04198939
15.4898,5.082037,2.107456,0.04277042
16.19388,5.103786,2.11964,0.04318907
16.89796,5.125193,2.13081,0.04371934
17.60204,5.146295,2.141079,0.04378564
18.30612,5.167018,2.15056,0.04368264
19.0102,5.187285,2.159466,0.04339812
19.71429,5.207023,2.167895,0.0431554
20.41837,5.226159,2.175907,0.0429728
21.12245,5.244639,2.183459,0.04267179
21.82653,5.262144,2.190436,0.04228729
22.53061,5.279313,2.19726,0.04204787
23.23469,5.295799,2.203677,0.04154687
23.93878,5.312093,2.210058,0.04132901
24.64286,5.326866,2.21579,0.04114434
25.34694,5.341369,2.221325,0.04080092
26.05102,5.355324,2.226684,0.04069992
26.7551,5.36781,2.231436,0.04061295
27.45918,5.380161,2.236101,0.04044103
28.16327,5.39189,2.240564,0.04045015
28.86735,5.402074,2.244411,0.0404716
29.57143,5.412155,2.248199,0.04044315
30.27551,5.421663,2.251792,0.04055565
30.97959,5.429625,2.254798,0.04068179
31.68367,5.437408,2.257715,0.0407563
32.38776,5.444823,2.260502,0.04088934
33.09184,5.450705,2.262743,0.04103842
33.79592,5.456201,2.26481,0.04112906
34.5,5.461634,2.266858,0.04122878
