z,p,k,epsilon
0,-3.334216,0.06437521,0.1412461
0.7040816,-3.306974,0.2172862,0.04589741
1.408163,-3.324941,0.2948384,0.04631104
2.112245,-3.3592,0.3625962,0.04838283
2.816327,-3.407805,0.4320714,0.05428014
3.520408,-3.474592,0.4989993,0.06304675
4.22449,-3.553248,0.5681083,0.07709354
4.928571,-3.605939,0.678375,0.1152874
5.632653,-3.550883,0.9191231,0.2557893
6.336735,-3.432859,1.411206,0.7686231
7.040816,-3.159197,1.479543,1.070019
7.744898,-2.893519,0.9137363,0.3602959
8.44898,-2.683219,0.7595455,0.1194438
9.153061,-2.483954,0.7273515,0.06850913
9.857143,-2.291107,0.6953829,0.04751852
10.56122,-2.107869,0.6577098,0.03520579
11.26531,-1.937105,0.6191594,0.02703826
11.96939,-1.77986,0.5832001,0.02135288
12.67347,-1.636186,0.5515071,0.01732096
13.37755,-1.504526,0.5243913,0.01440824
14.08163,-1.387163,0.5021709,0.01230555
14.78571,-1.283818,0.484238,0.01077082
15.4898,-1.183458,0.4692299,0.009578599
16.19388,-1.092861,0.4567635,0.008623749
16.89796,-1.011424,0.4467635,0.007880705
17.60204,-0.9380234,0.4384666,0.007271123
18.30612,-0.8697815,0.4314926,0.0067627
19.0102,-0.8092938,0.4258902,0.006353618
19.71429,-0.7537093,0.4210144,0.00599609
20.41837,-0.7019345,0.4167663,0.005683
21.12245,-0.6551637,0.4129939,0.005404635
21.82653,-0.6126278,0.4097307,0.005164117
22.53061,-0.5730348,0.4068308,0.004952849
23.23469,-0.5366434,0.4040867,0.004754617
23.93878,-0.5004341,0.401362,0.004558016
24.64286,-0.472003,0.3991373,0.004404885
25.34694,-0.4435927,0.3969152,0.00425199
26.05102,-0.4160261,0.3947617,0.004104999
26.7551,-0.3942948,0.3929043,0.003985279
27.45918,-0.3725635,0.3910469,0.003865559
28.16327,-0.3517693,0.3892581,0.003751653
28.86735,-0.3355865,0.3877141,0.003658601
29.57143,-0.3194038,0.38617,0.003565549
30.27551,-0.3042978,0.3846735,0.003476117
30.97959,-0.2974277,0.3834412,0.003406009
31.68367,-0.2905576,0.3822089,0.0033359
32.38776,-0.2834227,0.3809811,0.003266159
33.09184,-0.282736,0.3800781,0.003216446
33.79592,-0.2821191,0.3791847,0.003167237
34.5,-0.2811499,0.3782905,0.003118021
