z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.2330772,2.855695,-0.03554517
1.408163,0.2390732,2.999727,-0.08066746
2.112245,0.5617597,3.13479,-0.0478456
2.816327,0.7625471,3.280665,0.087199
3.520408,0.9528782,3.434464,0.3398125
4.22449,1.262715,3.587893,0.6637386
4.928571,1.734607,3.692085,0.9326315
5.632653,2.261376,3.719424,1.041873
6.336735,2.705338,3.70055,1.002308
7.040816,3.020195,3.681533,0.8858758
7.744898,3.232696,3.67724,0.7490755
8.44898,3.367958,3.690363,0.6265477
9.153061,3.456229,3.712524,0.5268348
9.857143,3.518452,3.73746,0.4488519
10.56122,3.566886,3.762469,0.3886584
11.26531,3.607966,3.786518,0.3418143
11.96939,3.644774,3.809154,0.3042695
12.67347,3.678956,3.830652,0.2736987
13.37755,3.711358,3.851304,0.2481935
14.08163,3.741678,3.870877,0.2269108
14.78571,3.768396,3.888312,0.2099888
15.4898,3.798126,3.907973,0.1925553
16.19388,3.824321,3.925638,0.1788342
16.89796,3.849632,3.9429,0.1666864
17.60204,3.873331,3.959334,0.1559777
18.30612,3.896282,3.975452,0.1462391
19.0102,3.917908,3.990919,0.1376809
19.71429,3.938323,4.005737,0.1300639
20.41837,3.95797,4.020162,0.1231005
21.12245,3.976481,4.033888,0.1167674
21.82653,3.99111,4.0449,0.1120498
22.53061,4.009849,4.059115,0.1062055
23.23469,4.026694,4.071987,0.101269
23.93878,4.041725,4.083516,0.0968475
24.64286,4.055694,4.094494,0.0935285
25.34694,4.06926,4.105119,0.09015238
26.05102,4.081961,4.115085,0.08686313
26.7551,4.093602,4.124352,0.08440522
27.45918,4.104941,4.133351,0.08186804
28.16327,4.115315,4.141593,0.07947072
28.86735,4.124747,4.14914,0.07766196
29.57143,4.133861,4.156405,0.07581674
30.27551,4.142096,4.162953,0.07406708
30.97959,4.149453,4.168816,0.07275132
31.68367,4.15638,4.174299,0.07142229
32.38776,4.162661,4.179243,0.07004928
33.09184,4.168082,4.183488,0.06906941
33.79592,4.172837,4.187155,0.06816444
34.5,4.177242,4.190524,0.06725345
