z,p,k,epsilon
3.634038e-18,-3.398604,0.4177757,2.334186
0.7040816,-3.492681,0.7603702,0.2017335
1.408163,-3.575576,0.949212,0.22542
2.112245,-3.607049,1.078583,0.290566
2.816327,-3.563389,1.172644,0.375527
3.520408,-3.497517,1.217299,0.4067184
4.22449,-3.433132,1.273834,0.4222704
4.928571,-3.299909,1.315136,0.4373913
5.632653,-3.182118,1.277484,0.4053801
6.336735,-3.003231,1.172393,0.3238822
7.040816,-2.80115,1.054097,0.2335461
7.744898,-2.599163,0.950013,0.1625678
8.44898,-2.406419,0.8610104,0.1126753
9.153061,-2.225629,0.7819719,0.07796995
9.857143,-2.057019,0.712075,0.05426269
10.56122,-1.900238,0.6523318,0.03849686
11.26531,-1.755412,0.6029141,0.02816269
11.96939,-1.622152,0.5627317,0.02134676
12.67347,-1.500291,0.5304748,0.0168155
13.37755,-1.388157,0.5045189,0.01372402
14.08163,-1.287558,0.4841458,0.01160337
14.78571,-1.204223,0.4694081,0.01022337
15.4898,-1.108976,0.4545636,0.008940013
16.19388,-1.030883,0.4441663,0.008092314
16.89796,-0.9599764,0.4358661,0.007434886
17.60204,-0.8938333,0.4291878,0.006909744
18.30612,-0.8326274,0.4236591,0.006472397
19.0102,-0.7776457,0.4190453,0.006103388
19.71429,-0.7263902,0.4151348,0.005784939
20.41837,-0.6792732,0.4117524,0.005506774
21.12245,-0.6346214,0.4088074,0.005262778
21.82653,-0.5970298,0.4063535,0.005059424
22.53061,-0.5618173,0.4038086,0.004850159
23.23469,-0.5273849,0.4015494,0.004667431
23.93878,-0.4933528,0.3992993,0.004487303
24.64286,-0.466082,0.3973411,0.00433717
25.34694,-0.4385636,0.3954419,0.004193483
26.05102,-0.4132235,0.3936399,0.004060006
26.7551,-0.3920706,0.3919676,0.003942243
27.45918,-0.3707691,0.3903259,0.003828084
28.16327,-0.3518517,0.3887754,0.00372299
28.86735,-0.335644,0.3873469,0.003630509
29.57143,-0.3188466,0.3859457,0.003540846
30.27551,-0.3038034,0.3846342,0.003458495
30.97959,-0.2907926,0.383457,0.003387179
31.68367,-0.2765485,0.3823207,0.00331916
32.38776,-0.2639682,0.3812675,0.003256219
33.09184,-0.2464997,0.3803643,0.003203455
33.79592,-0.2217909,0.379538,0.003155565
34.5,-0.1936939,0.3787655,0.003110108
