z,U_0,U_1,U_2
1.816559e-18,2.417472e-17,1.717222e-17,-2.297468e-20
0.7040816,-0.07620298,0.4389792,0.3101356
1.408163,-0.4330266,0.3489854,0.3491577
2.112245,-0.4251393,0.3928925,0.4290136
2.816327,-0.2274642,0.4538023,0.502296
3.520408,0.71613,0.6214363,0.493501
4.22449,2.755573,1.291549,0.5086357
4.928571,3.867679,1.723021,0.4587446
5.632653,4.296277,1.819268,0.4077836
6.336735,4.511727,1.848707,0.3640655
7.040816,4.639289,1.872402,0.3188327
7.744898,4.721709,1.898339,0.27559
8.44898,4.779061,1.925759,0.2373094
9.153061,4.822039,1.952922,0.2050435
9.857143,4.856683,1.978738,0.1787617
10.56122,4.88662,2.002225,0.1574416
11.26531,4.913957,2.023365,0.1403125
11.96939,4.940011,2.042142,0.1262525
12.67347,4.965372,2.05893,0.1147428
13.37755,4.990528,2.07413,0.1051953
14.08163,5.014983,2.087707,0.09732029
14.78571,5.039252,2.100067,0.09051745
15.4898,5.063152,2.111399,0.0846852
16.19388,5.087096,2.122293,0.07964362
16.89796,5.110242,2.132381,0.07542218
17.60204,5.132972,2.141848,0.07147947
18.30612,5.155254,2.150918,0.0680275
19.0102,5.17659,2.159363,0.06502183
19.71429,5.197424,2.167487,0.06227904
20.41837,5.21752,2.175277,0.05992246
21.12245,5.236988,2.182721,0.05771331
21.82653,5.255798,2.18984,0.0557293
22.53061,5.273045,2.196346,0.05416879
23.23469,5.290217,2.202785,0.05259426
23.93878,5.3075,2.209298,0.05111573
24.64286,5.32247,2.214884,0.05009684
25.34694,5.337445,2.220453,0.04902032
26.05102,5.352006,2.225884,0.04808458
26.7551,5.364711,2.230589,0.04740268
27.45918,5.377416,2.235294,0.04672078
28.16327,5.389598,2.239816,0.04614864
28.86735,5.399954,2.24364,0.04573348
29.57143,5.41031,2.247463,0.04531831
30.27551,5.420277,2.251151,0.04496497
30.97959,5.42823,2.254073,0.04472591
31.68367,5.436183,2.256995,0.04448685
32.38776,5.444079,2.259896,0.04425376
33.09184,5.449635,2.261928,0.04413646
33.79592,5.455125,2.263928,0.04401133
34.5,5.460614,2.265927,0.04388621
