z,p,k,epsilon
0,-0.316105,0.3846864,2.062043
0.7040816,-0.300257,0.5049418,0.1836634
1.408163,-0.3028428,0.5856483,0.1480028
2.112245,-0.3017366,0.622284,0.1235054
2.816327,-0.3185349,0.6353148,0.1014067
3.520408,-0.3768009,0.6266886,0.08010923
4.22449,-0.4438529,0.6035188,0.06142772
4.928571,-0.5373192,0.5791417,0.04758866
5.632653,-0.5594547,0.5575408,0.03764147
6.336735,-0.5969957,0.5398802,0.03078971
7.040816,-0.6251786,0.5247557,0.02579754
7.744898,-0.6442186,0.5114726,0.02203575
8.44898,-0.6543727,0.4996133,0.01912015
9.153061,-0.656253,0.4889524,0.01680905
9.857143,-0.6507419,0.479344,0.01494242
10.56122,-0.6390037,0.4707539,0.01341955
11.26531,-0.6221863,0.463086,0.01215846
11.96939,-0.6018107,0.4562971,0.01110459
12.67347,-0.5788197,0.4502626,0.01021223
13.37755,-0.5538678,0.4448575,0.009444898
14.08163,-0.5283784,0.4400943,0.008791249
14.78571,-0.5028667,0.4358377,0.008222922
15.4898,-0.4764893,0.432006,0.007726965
16.19388,-0.4503385,0.4284457,0.007280327
16.89796,-0.4255551,0.4252192,0.006885519
17.60204,-0.4014052,0.4222188,0.006529814
18.30612,-0.3783026,0.4194132,0.006206899
19.0102,-0.3567306,0.4168373,0.005922382
19.71429,-0.3357568,0.41437,0.005660504
20.41837,-0.3159863,0.4120251,0.00541999
21.12245,-0.2969259,0.4098101,0.005200801
21.82653,-0.2820915,0.4080117,0.005030285
22.53061,-0.2653615,0.4059134,0.004844238
23.23469,-0.2479269,0.4037556,0.004656461
23.93878,-0.2306208,0.4016305,0.004473294
24.64286,-0.2166084,0.3998212,0.00433279
25.34694,-0.2033172,0.3980116,0.004193463
26.05102,-0.1903272,0.3962261,0.004058742
26.7551,-0.178521,0.3946008,0.003946524
27.45918,-0.1672735,0.3929674,0.003834118
28.16327,-0.1562235,0.3913735,0.003726737
28.86735,-0.1461207,0.3899543,0.003637842
29.57143,-0.1364375,0.3885273,0.003548769
30.27551,-0.126902,0.3871339,0.003462998
30.97959,-0.1179739,0.3859624,0.003395166
31.68367,-0.1092967,0.3847846,0.003327199
32.38776,-0.1007018,0.3836205,0.003260413
33.09184,-0.09244188,0.3827197,0.003210948
33.79592,-0.08438999,0.381838,0.003162783
34.5,-0.07651657,0.3809517,0.003114527
