z,U_0,U_1,U_2
0,0,0,0
0.7040816,0.08738924,0.1658928,0.06282028
1.408163,0.0307071,0.1614836,0.06483691
2.112245,-0.00391989,0.184888,0.07405491
2.816327,0.01536638,0.2174316,0.09006383
3.520408,0.1409844,0.2570488,0.0921419
4.22449,0.5367868,0.2736522,0.00106476
4.928571,2.613117,0.1298892,-0.1995366
5.632653,3.403824,0.06904475,-0.1877688
6.336735,3.838189,0.01382457,-0.201444
7.040816,4.228973,-0.02457859,-0.2009804
7.744898,4.532163,-0.04519433,-0.1918255
8.44898,4.748259,-0.05274508,-0.1777477
9.153061,4.899292,-0.05273222,-0.1619797
9.857143,5.008463,-0.04912169,-0.1461466
10.56122,5.09186,-0.0441695,-0.130933
11.26531,5.159324,-0.03900672,-0.1166642
11.96939,5.216705,-0.03411129,-0.1034118
12.67347,5.267147,-0.02966858,-0.0912261
13.37755,5.312896,-0.02569379,-0.08000631
14.08163,5.354087,-0.02225645,-0.06996542
14.78571,5.387827,-0.01958284,-0.06186531
15.4898,5.428527,-0.01655084,-0.05232014
16.19388,5.462308,-0.01426466,-0.04487954
16.89796,5.493937,-0.01229629,-0.03812522
17.60204,5.523558,-0.01061089,-0.03208944
18.30612,5.551788,-0.009090046,-0.02662581
19.0102,5.5784,-0.007922986,-0.02180586
19.71429,5.603852,-0.006849638,-0.01742554
20.41837,5.627806,-0.005928856,-0.01342077
21.12245,5.650361,-0.005165962,-0.009867963
21.82653,5.668992,-0.004562608,-0.007054875
22.53061,5.69238,-0.003867023,-0.003802376
23.23469,5.711835,-0.003393988,-0.0009714616
23.93878,5.730105,-0.002948387,0.001521406
24.64286,5.747403,-0.002567299,0.003580506
25.34694,5.763855,-0.002257373,0.00576951
26.05102,5.779058,-0.001975889,0.007641855
26.7551,5.793469,-0.001725845,0.009369781
27.45918,5.807179,-0.00151691,0.0111495
28.16327,5.819627,-0.001321535,0.01269865
28.86735,5.831357,-0.00114499,0.01414708
29.57143,5.842418,-0.0009943871,0.01562963
30.27551,5.852291,-0.0008515316,0.0169324
30.97959,5.861521,-0.0007161653,0.01816486
31.68367,5.869993,-0.0006001066,0.01945981
32.38776,5.877473,-0.0004891466,0.02066443
33.09184,5.884386,-0.0003762985,0.02176377
33.79592,5.890335,-0.0002817775,0.02280451
34.5,5.895623,-0.0001879313,0.02372564
