z,p,k,epsilon
0,-2.46856,0.566117,3.681559
0.7040816,-2.512866,0.7884188,0.3167969
1.408163,-2.548135,0.9208418,0.2962806
2.112245,-2.57239,0.9409889,0.2811187
2.816327,-2.69862,0.9018382,0.2577244
3.520408,-2.857597,0.8991513,0.2770728
4.22449,-3.015932,0.9809316,0.3713166
4.928571,-3.113666,1.110669,0.5146616
5.632653,-3.123395,1.205007,0.6319971
6.336735,-3.063206,1.186036,0.5997613
7.040816,-2.870284,1.058269,0.3711044
7.744898,-2.623665,0.9502314,0.1882721
8.44898,-2.380858,0.8669581,0.1060647
9.153061,-2.15648,0.7875174,0.06575443
9.857143,-1.95394,0.7158611,0.04386262
10.56122,-1.771841,0.6553776,0.03110728
11.26531,-1.608608,0.6065085,0.02337373
11.96939,-1.461612,0.5674503,0.018412
12.67347,-1.329565,0.5366522,0.01512378
13.37755,-1.210336,0.5123163,0.01284814
14.08163,-1.105049,0.4933503,0.01122936
14.78571,-1.021291,0.4797082,0.01013652
15.4898,-0.92354,0.4657023,0.009055663
16.19388,-0.8459442,0.4555713,0.008290833
16.89796,-0.7765448,0.4472517,0.007672421
17.60204,-0.7139285,0.4404209,0.007163958
18.30612,-0.6563961,0.4344649,0.006720951
19.0102,-0.6056231,0.4293135,0.006337939
19.71429,-0.5586345,0.4247067,0.005997009
20.41837,-0.5160238,0.4206493,0.005699443
21.12245,-0.4774313,0.4170488,0.005436759
21.82653,-0.4456252,0.4140435,0.005219684
22.53061,-0.4071042,0.4106151,0.00497797
23.23469,-0.3761872,0.4078075,0.004781139
23.93878,-0.3462902,0.4050938,0.004596339
24.64286,-0.3212478,0.4026175,0.004432069
25.34694,-0.296623,0.4002737,0.004278012
26.05102,-0.2736668,0.398026,0.004135917
26.7551,-0.2534784,0.3959592,0.004008338
27.45918,-0.2334166,0.3939726,0.003886844
28.16327,-0.2146088,0.3920829,0.003775914
28.86735,-0.1977238,0.3903518,0.003676335
29.57143,-0.1809794,0.3886899,0.003581547
30.27551,-0.1652422,0.3871251,0.003495376
30.97959,-0.1509427,0.3857085,0.003418682
31.68367,-0.1366863,0.3843763,0.003347079
32.38776,-0.1228777,0.3831319,0.003281729
33.09184,-0.110408,0.3820274,0.003224643
33.79592,-0.09821179,0.3810474,0.003174179
34.5,-0.08642182,0.380128,0.003127297
